Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Charles Leclerc|130|-330|-450|-480
Max Verstappen|150|-380|-450|-480
Carlos Sainz|650|-150|-380|-400
Lewis Hamilton|1000|270|-340|-400
Sergio Perez|1800|195|-380|-400
George Russell|2800|500|-150|-400
Valtteri Bottas|11000|1200|170|-250
Pierre Gasly|11000|2200|195|-210
Kevin Magnussen|11000|1100|145|-270
Fernando Alonso|11000|2200|195|-210
Esteban Ocon|14000|2800|350|-150
Lando Norris|17000|3200|750|145
Mick Schumacher|18000|3200|650|130
Alex Albon|20000|10000|5000|650
Lance Stroll|20000|10000|3200|300
Sebastian Vettel|20000|10000|2800|270
Yuki Tsunoda|20000|3200|750|120
Nicholas Latifi|20000|10000|5000|1600
Guanyu Zhou|20000|3200|750|145
Daniel Ricciardo|20000|4200|1000|250
