Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-105|-360|-550|-600
Charles Leclerc|220|-280|-500|-550
Lewis Hamilton|900|185|-330|-500
Sergio Perez|1100|-110|-300|-500
George Russell|1200|200|-300|-450
Carlos Sainz|1800|-115|-300|-450
Lando Norris|10000|1400|110|-250
Pierre Gasly|15000|3500|380|-150
Valtteri Bottas|15000|2200|130|-200
Fernando Alonso|15000|2000|180|-225
Esteban Ocon|25000|4000|380|-150
Daniel Ricciardo|25000|4000|425|-120
Sebastian Vettel|40000|5500|600|110
Yuki Tsunoda|50000|15000|1800|265
Kevin Magnussen|50000|13000|1200|135
Lance Stroll|50000|13000|1800|285
Mick Schumacher|50000|15000|2800|300
Guanyu Zhou|50000|20000|2000|170
Alexander Albon|90000|30000|6500|550
Nicholas Latifi|90000|50000|20000|2200
