Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-265|-450|-750|-800
Charles Leclerc|650|-160|-550|-600
Lewis Hamilton|800|-150|-650|-650
George Russell|1100|115|-600|-650
Sergio Perez|1500|-115|-500|-550
Carlos Sainz Jr.|1600|225|-450|-500
Lando Norris|15000|1800|100|-400
Fernando Alonso|20000|1800|-120|-400
Esteban Ocon|30000|3000|275|-330
Daniel Ricciardo|30000|6500|850|150
Valtteri Bottas|50000|15000|2000|180
Sebastian Vettel|50000|13000|1200|125
Pierre Gasly|50000|10000|1200|165
Lance Stroll|50000|13000|1200|165
Kevin Magnussen|50000|15000|1200|185
Yuki Tsunoda|90000|25000|2800|350
Alex Albon|90000|13000|1600|130
Nicholas Latifi|90000|30000|10000|1800
Mick Schumacher|900000|25000|2200|225
Guanyu Zhou|90000|25000|2500|425
