Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|115|-330|-700|-800
Lewis Hamilton|260|-190|-650|-800
George Russell|330|-165|-650|-8000
Charles Leclerc|1000|135|-600|-700
Sergio Perez|1400|105|-550|-650
Carlos Sainz Jr.|1600|185|-500|-650
Lando Norris|25000|2000|100|-360
Fernando Alonso|25000|2000|100|-330
Esteban Ocon|30000|4000|350|-225
Pierre Gasly|50000|6000|1800|170
Valtteri Bottas|50000|10000|750|125
Sebastian Vettel|50000|4000|700|185
Lance Stroll|50000|10000|1400|130
Kevin Magnussen|50000|13000|1800|225
Daniel Ricciardo|50000|4000|850|180
Yuki Tsunoda|90000|15000|2000|300
Mick Schumacher|90000|15000|2800|450
Nicholas Latifi|90000|25000|10000|1600
Alex Albon|90000|15000|4000|380
Zhou Guanyu|90000|15000|4000|280
