Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-110|-330|-550|-600
Charles Leclerc|235|-330|-500|-600
Carlos Sainz|800|-105|-450|-550
Sergio Perez|1100|-105|-450|-550
Lewis Hamilton|1200|180|-400|-450
George Russell|1800|235|-400|-450
Lando Norris|13000|1200|135|-360
Fernando Alonso|13000|1400|165|-300
Valtteri Bottas|15000|1800|190|-165
Pierre Gasly|25000|5000|550|-105
Esteban Ocon|25000|3000|450|-120
Daniel Ricciardo|25000|4500|380|105
Sebastian Vettel|50000|8000|800|155
Yuki Tsunoda|50000|10000|1400|160
Kevin Magnussen|50000|10000|1800|225
Lance Stroll|50000|15000|3000|300
Mick Schumacher|50000|15000|4000|300
Guanyu Zhou|50000|8000|900|135
Alexander Albon|90000|20000|5000|350
Nicholas Latifi|90000|30000|20000|1400
