Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-105|-450|-500|-700
Charles Leclerc|205|-360|-450|-700
Sergio Perez|550|-140|-400|-650
Carlos Sainz|1100|115|-360|-650
George Russell|2500|300|-330|-650
Lewis Hamilton|3500|380|-300|-450
Lando Norris|10000|650|-110|-400
Valtteri Bottas|15000|1000|-105|-330
Fernando Alonso|25000|1800|185|-200
Esteban Ocon|30000|2500|550|-150
Daniel Ricciardo|30000|4000|600|115
Pierre Gasly|30000|3000|600|-120
Yuki Tsunoda|50000|10000|1400|185
Sebastian Vettel|50000|6500|1100|125
Kevin Magnussen|50000|4000|650|120
Mick Schumacher|70000|10000|1800|380
Guanyu Zhou|70000|15000|3000|450
Lance Stroll|70000|8000|2800|330
Alexander Albon|80000|30000|5000|550
Nicholas Latifi|90000|50000|15000|2200
