Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|+185|-300|-400|-550
Lewis Hamilton|+240|-160|-380|-550
Charles Leclerc|+500|-105|-270|-440
George Russell|+850|195|-250|-440
Carlos Sainz Jr.|+850|160|-250|-380
Lando Norris|+2100|550|130|-250
Sergio Perez|+2200|175|-250|-440
Daniel Ricciardo|+3200|1600|270|-200
Pierre Gasly|+5000|1600|145|-150
Fernando Alonso|+5000|1800|270|-150
Mick Schumacher|+6500|5000|750|220
Esteban Ocon|+6500|5000|270|-150
Lance Stroll|+10000|3200|410|120
Kevin Magnussen|+12000|7500|1300|220
Valtteri Bottas|+14000|10000|1600|250
Alex Albon|+14000|7500|1800|220
Yuki Tsunoda|+14000|5000|750|120
Nico Hulkenberg|+14000|3100|340|-105
Nicholas Latifi|+20000|10000|7000|650
Guanyu Zhou|+20000|10000|7000|500
