Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-200|-400|-700|-800
Charles Leclerc|370|-190|-450|-550
Carlos Sainz Jr.|900|-105|-450|-550
Lewis Hamilton|1200|130|-450|-550
Sergio Perez|1200|-105|-450|-550
George Russell|1800|175|-450|-550
Lando Norris|15000|1800|110|-330
Fernando Alonso|15000|1800|100|-360
Esteban Ocon|30000|4000|185|-280
Daniel Ricciardo|30000|4000|650|135
Valtteri Bottas|50000|8000|900|125
Sebastian Vettel|50000|5000|1100|-105
Pierre Gasly|50000|8000|750|150
Lance Stroll|50000|5500|1200|185
Kevin Magnussen|50000|8000|1200|165
Yuki Tsunoda|90000|20000|3500|330
Alex Albon|90000|15000|3500|225
Nicholas Latifi|90000|25000|10000|1600
Mick Schumacher|900000|15000|2800|330
Guanyu Zhou|90000|20000|3500|330
