Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Charles Leclerc|105|-335|-670|-910
Max Verstappen|180|-335|-670|-1000
Carlos Sainz|800|-125|-500|-910
Sergio Perez|1000|-112|-500|-770
Lewis Hamilton|1800|300|-182|-400
George Russell|2500|475|-125|-335
Lando Norris|8000|900|150|-225
Daniel Ricciardo|8000|1200|175|-167
Esteban Ocon|13000|1600|350|-118
Fernando Alonso|13000|1400|175|-167
Pierre Gasly|15000|1400|1400|-143
Kevin Magnussen|20000|1400|325|-167
Yuki Tsunoda|20000|1600|300|-139
Valtteri Bottas|25000|1600|400|-118
Guanyu Zhou|25000|2500|1400|500
Mick Schumacher|25000|5000|1200|250
Lance Stroll|50000|10000|1400|250
Sebastian Vettel|50000|75000|6000|700
Nicholas Latifi|70000|100000|8000|800
Alex Albon|70000|100000|10000|900
