Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|105|-270|-380|-550
Charles Leclerc|115|-300|-400|-550
Carlos Sainz|1300|-150|-300|-380
Sergio Perez|1800|-130|-300|-380
Lewis Hamilton|2800|410|-230|-330
George Russell|2800|410|-230|-330
Lando Norris|11000|1000|105|-290
Valtteri Bottas|11000|850|-115|-270
Pierre Gasly|20000|3200|500|-150
Fernando Alonso|20000|1300|175|-175
Esteban Ocon|20000|2200|250|-175
Daniel Ricciardo|20000|2200|300|125
Guanyu Zhou|20000|10000|3000|185
Mick Schumacher|20000|7000|2200|195
Alex Albon|20000|10000|3200|250
Lance Stroll|20000|10000|3200|195
Yuki Tsunoda|20000|7000|1800|175
Nicholas Latifi|20000|10000|10000|1800
Sebastian Vettel|20000|10000|3200|300
Kevin Magnussen|20000|3200|410|-150
