Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-190|-450|-650|-800
Charles Leclerc|500|-175|-550|-700
Lewis Hamilton|700|-120|-550|-700
Sergio Perez|900|-120|-550|-700
George Russell|1200|185|-550|-700
Carlos Sainz Jr.|1600|175|-550|-700
Lando Norris|25000|1800|-120|-450
Fernando Alonso|25000|2000|-110|-360
Sebastian Vettel|50000|6500|1600|-110
Pierre Gasly|50000|8000|1800|165
Valtteri Bottas|50000|4000|650|-110
Lance Stroll|50000|8000|1800|185
Daniel Ricciardo|50000|6500|500|-110
Esteban Ocon|50000|2200|350|-225
Alex Albon|90000|15000|5000|330
Yuki Tsunoda|90000|15000|2000|330
Mick Schumacher|90000|15000|2500|450
Nicholas Latifi|90000|25000|10000|1800
Kevin Magnussen|90000|15000|3500|250
Zhou Guanyu|90000|15000|3500|380
