Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-190|-800|-1400|-1400
Valtteri Bottas|275|-500|-1000|-1200
Max Verstappen|450|-250|-800|-800
Sergio Perez|3300|350|-200|-400
Charles Leclerc|4000|350|-200|-400
Alex Albon|5000|500|-175|-400
Carlos Sainz Jr.|5000|800|-150|-250
Lance Stroll|5000|500|-175|-275
Lando Norris|5000|800|125|-250
Sebastian Vettel|10000|1100|150|-120
Daniel Ricciardo|25000|3300|275|-275
Esteban Ocon|50000|10000|450|-150
Pierre Gasly|100000|25000|800|-150
Daniil Kvyat|200000|50000|2500|225
Antonio Giovinazzi|250000|100000|20000|750
George Russell|250000|100000|15000|250
Kimi Raikkonen|250000|100000|20000|750
Kevin Magnussen|300000|100000|20000|550
Romain Grosjean|6600|100000|20000|550
Nicholas Latifi|300000|200000|50000|1100
