Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-225|-770|-1115|-1430
Valtteri Bottas|250|-500|-1000|-1250
Max Verstappen|550|-400|-455|-560
Daniel Ricciardo|6000|350|-250|-400
Sergio Perez|8000|375|-182|-400
Charles Leclerc|10000|550|-106|-250
Alex Albon|12500|700|100|-250
Pierre Gasly|12500|900|200|-225
Lando Norris|15000|1200|200|-225
Carlos Sainz|15000|1200|175|-250
Lance Stroll|20000|1600|225|-250
Daniil Kyvat|25000|2500|500|-125
Esteban Ocon|25000|2500|225|-200
Sebastian Vettel|30000|3300|600|-125
Antonio Giovinazzi|300000|50000|5000|450
Romain Grosjean|300000|50000|6000|700
Kevin Magnussen|300000|50000|6000|700
George Russell|300000|50000|4000|400
Kimi Raikkonen|300000|50000|3300|350
Nicholas Latifi|400000|100000|10000|1000
