Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-225|-910|-1250|-1667
Valtteri Bottas|400|-500|-1115|-1430
Max Verstappen|500|-400|-670|-835
Sergio Perez|6000|350|-225|-400
Charles Leclerc|8000|400|-125|-286
Daniel Ricciardo|8000|400|-225|-335
Alex Albon|10000|1000|-118|-335
Carlos Sainz|10000|1000|175|-250
Pierre Gasly|12500|1400|200|-250
Lando Norris|12500|1400|200|-225
Esteban Ocon|12500|1400|225|-200
Lance Stroll|15000|1600|175|-240
Sebastian Vettel|25000|3300|800|-125
Daniil Kyvat|50000|8000|1000|-112
Antonio Giovinazzi|300000|75000|8000|700
Romain Grosjean|300000|75000|6000|800
Kevin Magnussen|300000|75000|8000|800
George Russell|300000|75000|6000|600
Kimi Raikkonen|300000|75000|6000|400
Nicholas Latifi|400000|100000|8000|1200
