Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-225|-375|-650|-1000
Valtteri Bottas|350|-350|-500|-750
Max Verstappen|600|-250|-350|-375
George Russell|1000|275|-275|-450
Sergio Perez|2800|250|-275|-650
Daniel Ricciardo|5000|400|-175|-450
Alex Albon|6600|500|-145|-350
Esteban Ocon|6600|800|150|-225
Lance Stroll|6600|1200|175|-185
Carlos Sainz|6600|1000|150|-300
Lando Norris|10000|1600|200|-225
Charles Leclerc|10000|2000|200|-225
Daniil Kvyat|10000|2000|250|-125
Pierre Gasly|10000|1400|175|-190
Sebastian Vettel|20000|3300|800|130
Kimi Raikkonen|100000|25000|8000|350
Antonio Giovinazzi|100000|35000|8000|350
Kevin Magnussen|200000|75000|10000|800
Pietro Fittipaldi|400000|150000|10000|2000
Nicholas Latifi|400000|150000|15000|2000
