Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-225|-1000|-1000|-1400
Valtteri Bottas|375|-400|-700|-800
Max Verstappen|375|-500|-700|-700
Sergio Perez|3300|300|-200|-450
Charles Leclerc|5000|500|-150|-450
Lance Stroll|6600|450|-150|-250
Sebastian Vettel|10000|900|110|-200
Carlos Sainz Jr.|12500|1400|110|-275
Alex Albon|15000|900|-110|-350
Lando Norris|15000|1400|120|-250
Daniel Ricciardo|50000|4000|200|-275
Danil Kvyat|100000|50000|2000|175
Esteban Ocon|100000|10000|600|-225
Pierre Gasly|100000|20000|1400|-175
Kimi Raikonen|250000|75000|15000|550
Antonio Giovinazzi|300000|100000|25000|1000
George Russell|300000|100000|25000|400
Kevin Magnussen|300000|100000|25000|500
Romain Grosjean|300000|100000|25000|550
Nicholas Latifi|400000|200000|50000|1600
