Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|120|-350|-700|-900
Max Verstappen|150|-350|-650|-700
Sergio Perez|800|140|-450|-700
Valtteri Bottas|1000|-135|-350|-500
Lando Norris|2500|275|-350|-700
Charles Leclerc|2800|375|-300|-600
Carlos Sainz Jr.|6600|1000|150|-600
Daniel Ricciardo|6600|1000|100|-600
Pierre Gasly|10000|1200|225|-275
Sebastian Vettel|10000|1200|275|-135
George Russell|10000|1600|275|125
Fernando Alonso|15000|1600|400|-135
Lance Stroll|25000|6600|1000|125
Yuki Tsunoda|25000|4000|600|150
Antonio Giovinazzi|25000|15000|3300|200
Kimi Raikkonen|25000|15000|3300|200
Esteban Ocon|25000|4000|500|-135
Nicholas Latifi|25000|25000|10000|1200
Mick Schumacher|25000|25000|10000|600
Nikita Mazepin|25000|25000|10000|3300
