Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|-135|-400|-600|-900
Max Verstappen|135|-360|-550|-900
Valtteri Bottas|1600|-165|-450|-600
Sergio Perez|2000|275|-360|-600
Lando Norris|4000|330|-250|-500
Charles Leclerc|4000|300|-250|-500
Carlos Sainz Jr.|8000|750|-125|-450
Pierre Gasly|10000|1000|120|-280
George Russell|10000|2500|1000|145
Daniel Ricciardo|15000|1000|165|-280
Fernando Alonso|20000|1600|275|-250
Esteban Ocon|20000|1800|500|-140
Sebastian Vettel|25000|1800|550|-120
Lance Stroll|30000|2800|1100|110
Yuki Tsunoda|40000|6500|3500|175
Antonio Giovinazzi|40000|13000|6500|650
Kimi Raikkonen|40000|13000|6500|650
Nicholas Latifi|50000|20000|10000|1100
Mick Schumacher|50000|15000|8000|1100
Nikita Mazepin|50000|25000|10000|1800
