Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-105|-380|-550|-700
Lewis Hamilton|-105|-380|-550|-700
Sergio Perez|1600|-150|-380|-400
Valtteri Bottas|2200|195|-330|-400
Lando Norris|3200|300|-250|-400
Charles Leclerc|4200|350|-200|-380
Carlos Sainz Jr.|11000|850|-150|-330
George Russell|11000|2800|850|145
Daniel Ricciardo|14000|1100|115|-300
Sebastian Vettel|14000|1800|350|-105
Esteban Ocon|14000|2200|410|-175
Fernando Alonso|20000|2200|410|-195
Nikita Mazepin|20000|10000|10000|5000
Lance Stroll|20000|7000|1800|-105
Yuki Tsunoda|20000|10000|850|105
Kimi Raikkonen|20000|10000|7000|410
Antonio Giovinazzi|20000|10000|7000|410
Nicholas Latifi|20000|10000|10000|2200
Mick Schumacher|200000|10000|2800|650
Pierre Gasly|20000|1600|220|-270
