Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Lewis Hamilton|125|-350|-600|-700
Max Verstappen|125|-350|-600|-800
Sergio Perez|800|100|-450|-550
Valtteri Bottas|1000|120|-400|-450
Lando Norris|3300|275|-350|-500
Charles Leclerc|5000|450|-185|-400
Daniel Ricciardo|6600|700|100|-500
Carlos Sainz Jr.|6600|700|140|-300
Pierre Gasly|8000|700|185|-350
Fernando Alonso|8000|1600|500|-135
George Russell|15000|3300|700|250
Sebastian Vettel|15000|2200|350|-135
Lance Stroll|50000|6600|800|100
Yuki Tsunoda|50000|6600|1200|250
Antonio Giovinazzi|50000|15000|3300|300
Kimi Raikkonen|50000|20000|3300|300
Esteban Ocon|50000|4000|800|100
Nicholas Latifi|50000|25000|6600|1600
Mick Schumacher|50000|15000|1400|1200
Nikita Mazepin|50000|25000|6600|3300
