Driver|Odds to Win|Odds to Finish Top Three|Odds to Finish Top Six|Odds to Finish Top Ten
Max Verstappen|-133|-350|-700|-700
Lewis Hamilton|180|-400|-700|-1000
Sergio Perez|1400|115|-500|-650
Valtteri Bottas|1400|110|-500|-550
Charles Leclerc|2000|210|-300|-550
Carlos Sainz Jr.|5000|650|-154|-400
Lando Norris|7000|280|-350|-550
Pierre Gasly|8000|2000|300|-213
Daniel Ricciardo|12500|1200|-143|-350
Fernando Alonso|20000|3300|400|-213
Sebastian Vettel|25000|2800|500|-188
George Russell|30000|4000|1200|155
Esteban Ocon|30000|7000|900|105
Lance Stroll|40000|7000|1800|-110
Yuki Tsunoda|40000|12500|2500|210
Kimi Raikkonen|100000|25000|12500|350
Antonio Giovinazzi|100000|25000|12500|425
Nicholas Latifi|150000|25000|20000|3500
Mick Schumacher|200000|50000|25000|4000
Nikita Mazepin|250000|50000|30000|5000
